word,meaning,n,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,summ
zelner,military,1,6,0,0,0,0,0,0,0,1,0,0,0,8
dertsier,educational,8,0,0,0,0,0,0,0,0,0,0,0,0,8
veyts,wheaten,0,0,6,0,0,0,0,2,0,0,0,0,0,8
aynvoyner,resident,8,0,0,0,0,0,0,0,0,0,0,0,0,8
zelner,military,1,6,0,0,0,0,0,0,0,1,0,0,0,8
akusher,obstetrician (medicine),1,6,0,0,0,0,0,0,0,0,0,0,0,7
bal,sinful person,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bekn,diminutive with root beke,0,0,7,0,0,0,0,0,0,0,0,0,0,7
bal,dance,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bal,ball (round object),0,2,5,0,0,0,0,0,0,0,0,0,0,7
bekn,basin; pool (artificial); pelvis (body part); roasting pan; tray,0,0,7,0,0,0,0,0,0,0,0,0,0,7
bal,optimist,0,2,5,0,0,0,0,0,0,0,0,0,0,7
denik,cap visor (clothing),7,0,0,0,0,0,0,0,0,0,0,0,0,7
denik,bottom of a pot,7,0,0,0,0,0,0,0,0,0,0,0,0,7
dramaturg,adjectival form with -ish,7,0,0,0,0,0,0,0,0,0,0,0,0,7
bal,advisor,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bal,fat person,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bahersh,master,0,0,7,0,0,0,0,0,0,0,0,0,0,7
libhober,lover,7,0,0,0,0,0,0,0,0,0,0,0,0,7
initsyator,initiator,7,0,0,0,0,0,0,0,0,0,0,0,0,7
bal,creditor,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bal,spin doctor source: vi zogt men af yidish,0,2,5,0,0,0,0,0,0,0,0,0,0,7
kis,money pouch,7,0,0,0,0,0,0,0,0,0,0,0,0,7
bal,talented person,0,2,5,0,0,0,0,0,0,0,0,0,0,7
libhober,lover; amateur (theater),7,0,0,0,0,0,0,0,0,0,0,0,0,7
bal,courteous person; person of high moral character,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bal,wonder worker,0,2,5,0,0,0,0,0,0,0,0,0,0,7
rikhter,judge,7,0,0,0,0,0,0,0,0,0,0,0,0,7
bal,lustful person,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bal,prayer leader,0,2,5,0,0,0,0,0,0,0,0,0,0,7
bal,philanthropist,0,2,5,0,0,0,0,0,0,0,0,0,0,7
