word,meaning,in,ke,te,inte,nice,itse,ine,ene,cn,she,ixe,esis,ese,tshke,summ
visnshaftler,scientist,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
virt,proprietor; boss; owner,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
senator,senator,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
antropolog,antropological,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
artist,artist,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
ben,member of the household,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
doktorant,doctoral student,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
eygntimer,owner,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
fleger,personal attendant,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
gastgeber,host; innkeeper,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
gevir,wealthy person,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
gimnazist,high-school student,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
gets,idol; idiot,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
helfer,helper,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
intrigant,plotter,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
khemiker,chemist,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
komedyant,comedian; buffoon,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
konkurent,rival,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
lingvist,linguist,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
mayster,expert,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mekler,broker,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
imigrant,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
neger,Negro was polite,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
nemer,taker,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
partizan,partisan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
patryot,patriotic,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
rabiner,Rabbinic,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
shklaf,slave,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
shnayder,tailor (occupation),2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
shver,father-in-law of bride right after engagement; of groom after marriage,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
soldat,soldier,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
ben,favorite son,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
oyfzeer,supervisor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
zitser,sitter,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
frantsoyz,Frenchman,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
kegner,opponent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
agent,agent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
akademiker,academician source: Forwards,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
aktivist,activist,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
asistent,assistant (English),1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
bilyoner,billionaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
bundist,Bundist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
dentist,dentist,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
diner,server,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
don,mr. (spanish),1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
druker,printer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
farerer,devotГ©e; suitor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
firsht,nobleman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
fisher,fisher,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
fleytist,flautist,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
fliker,plucker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
geler,blond; redhead,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
gratsh,hot-headed person,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
gubernator,governor,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
hero,hero (English),2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hiter,guard; guardian,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
koyfer,atheist,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
imperator,emperor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
keyser,"czar, Kaiser",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
khoreograf,choreographer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
kekher,cook,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
