word,meaning,in,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,общее
agent,agent,1,1,0,0,0,0,0,0,0,0,0,0,0,2
april,April,0,0,0,0,0,0,0,0,0,0,0,2,0,2
meyukhes,aristocratic descent (a man of aristocratic descent),0,0,0,0,0,0,0,0,0,0,0,2,0,2
mekler,"broker, agent",2,0,0,0,0,0,0,0,0,0,0,0,0,2
kristus,Christ,0,0,0,0,0,0,0,0,0,0,0,2,0,2
tarakan,cockroach,0,0,0,0,0,0,0,0,0,0,0,2,0,2
kam,comb,2,0,0,0,0,0,0,0,0,0,0,0,0,2
opshprekher,curse remover (male),0,2,0,0,0,0,0,0,0,0,0,0,0,2
disk,"disk, record",2,0,0,0,0,0,0,0,0,0,0,0,0,2
firsht,duke,2,0,0,0,0,0,0,0,0,0,0,0,0,2
odler,eagle,0,2,0,0,0,0,0,0,0,0,0,0,0,2
flaks,flax; lint,0,0,0,0,0,0,0,2,0,0,0,0,0,2
nar,fool,0,0,0,1,0,0,0,0,0,0,0,1,0,2
dor,generation,1,0,0,0,0,0,0,0,0,0,0,1,0,2
gubernator,governor (of a political body),1,0,0,0,0,0,0,0,0,1,0,0,0,2
imigrant,immigrant,0,2,0,0,0,0,0,0,0,0,0,0,0,2
oystaytsher,interpreter,2,0,0,0,0,0,0,0,0,0,0,0,0,2
bund,"Jewish Labor Bund, socialist labor party",0,0,0,0,0,0,0,0,0,0,0,2,0,2
kush,kiss,1,0,0,0,0,0,0,0,0,0,0,1,0,2
marts,March,2,0,0,0,0,0,0,0,0,0,0,0,0,2
martirer,martyr,1,0,0,0,0,0,0,0,0,1,0,0,0,2
pirog,meat pie; vagina (vulgar),0,0,0,0,0,0,0,0,0,0,0,2,0,2
merder,murderer; assasin,1,0,0,0,0,0,0,0,0,1,0,0,0,2
bamerk,notice,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ofis,office,0,0,0,0,0,0,0,0,0,0,0,2,0,2
amt,office (position),2,0,0,0,0,0,0,0,0,0,0,0,0,2
pas,passport,0,0,2,0,0,0,0,0,0,0,0,0,0,2
druker,printer,1,1,0,0,0,0,0,0,0,0,0,0,0,2
kon,"round (of a dance), stake (in a game)",0,0,2,0,0,0,0,0,0,0,0,0,0,2
diner,servant,2,0,0,0,0,0,0,0,0,0,0,0,0,2
shames,"shames, assistant to the rabbi in a synagouge; beadle",0,0,2,0,0,0,0,0,0,0,0,0,0,2
shklaf,slave,2,0,0,0,0,0,0,0,0,0,0,0,0,2
nos,sneeze,0,2,0,0,0,0,0,0,0,0,0,0,0,2
kremer,storekeeper (male),1,1,0,0,0,0,0,0,0,0,0,0,0,2
shnayder,tailor (male),2,0,0,0,0,0,0,0,0,0,0,0,0,2
fartsiter,thrill,0,0,2,0,0,0,0,0,0,0,0,0,0,2
vend,turn,0,2,0,0,0,0,0,0,0,0,0,0,0,2
tip,type,0,0,0,0,0,0,0,0,0,1,0,1,0,2
shraybmashin,typewriter,0,2,0,0,0,0,0,0,0,0,0,0,0,2
bazukher,visitor,2,0,0,0,0,0,0,0,0,0,0,0,0,2
publitsist,writer of current public affairs; pamphleteer; columnist,2,0,0,0,0,0,0,0,0,0,0,0,0,2
anarkhist,anarchist,0,1,0,0,0,0,0,0,0,0,0,0,0,1
entfer,"answer, reply",0,1,0,0,0,0,0,0,0,0,0,0,0,1
bandit,"bandit, gangster",0,1,0,0,0,0,0,0,0,0,0,0,0,1
baron,baron,0,0,0,0,0,0,0,0,0,0,0,0,1,1
shnorer,"beggar; sponger, moocher, parasite",1,0,0,0,0,0,0,0,0,0,0,0,0,1
vet,"bet, wager",0,0,0,0,0,0,0,0,0,0,0,1,0,1
klap,"blow, rap, smack, hit",0,0,0,0,0,0,0,0,0,0,0,1,0,1
dek,bottom,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bik,bull,0,0,0,0,0,0,0,0,0,0,0,1,0,1
tshek,check (bank),1,0,0,0,0,0,0,0,0,0,0,0,0,1
feldz,cliff; rock; boulder,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bading,"condition, provision",0,0,1,0,0,0,0,0,0,0,0,0,0,1
tokh,"core, essence",0,0,0,0,0,0,0,0,0,0,0,1,0,1
dek,"cover, lid",0,0,0,0,0,0,0,0,0,0,0,1,0,1
bashaf,Creation,0,0,0,0,0,0,0,1,0,0,0,0,0,1
farbrekher,criminal,0,0,0,0,0,0,0,0,0,1,0,0,0,1
gevald,"cry, scream, shriek; hue and cry; emergency",0,0,0,0,0,0,0,0,0,0,0,1,0,1
kos,"cup, goblet",0,0,0,0,0,0,0,0,0,0,0,1,0,1
yom,day,0,1,0,0,0,0,0,0,0,0,0,0,0,1
tayvl,"devil, fiend",0,0,0,0,0,0,0,0,0,1,0,0,0,1
diment,diamond,0,0,0,0,0,0,0,1,0,0,0,0,0,1
papshoy,ear of corn,0,0,0,0,0,0,0,0,0,0,0,1,0,1
soyne,enemy,0,0,0,0,0,0,0,0,0,1,0,0,0,1
fisher,fisherman,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tam,"flavor, taste; zest",0,0,0,0,0,0,0,0,0,0,0,1,0,1
shmendrik,"fool; inept person, nincompoop",0,0,1,0,0,0,0,0,0,0,0,0,0,1
felsher,forger,1,0,0,0,0,0,0,0,0,0,0,0,0,1
matsh,"game (ballgame), prizefight",0,0,0,0,0,0,0,0,0,0,0,1,0,1
general,general,0,0,0,0,0,0,0,0,0,1,0,0,0,1
gram,gram (measurement),1,0,0,0,0,0,0,0,0,0,0,0,0,1
grikh,Greek,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hut,hat,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kop,head,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kop,headline,0,0,0,0,0,0,0,0,0,0,0,1,0,1
shoykhet,kosher butcher,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ligner,liar,0,1,0,0,0,0,0,0,0,0,0,0,0,1
mansparshoyn,"man, manly person",0,0,1,0,0,0,0,0,0,0,0,0,0,1
shteyger,"manner, way",0,0,0,0,0,0,0,0,0,1,0,0,0,1
mitglid,member (of a group),1,0,0,0,0,0,0,0,0,0,0,0,0,1
motiv,motive,1,0,0,0,0,0,0,0,0,0,0,0,0,1
klezmer,musician,0,1,0,0,0,0,0,0,0,0,0,0,0,1
observator,observer,1,0,0,0,0,0,0,0,0,0,0,0,0,1
orator,orator,1,0,0,0,0,0,0,0,0,0,0,0,0,1
amol,past,0,1,0,0,0,0,0,0,0,0,0,0,0,1
khlop,peasant,0,0,0,0,0,0,0,0,0,0,0,1,0,1
apteyker,"pharmacist, druggist",1,0,0,0,0,0,0,0,0,0,0,0,0,1
filosof,philosopher,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pioner,pioneer,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ort,"place, spot",1,0,0,0,0,0,0,0,0,0,0,0,0,1
top,pot,0,1,0,0,0,0,0,0,0,0,0,0,0,1
dales,"poverty, squalor",0,0,0,0,0,0,0,0,0,0,0,1,0,1
druk,"pressure, stress; print",0,0,0,0,0,0,0,0,0,0,0,1,0,1
farver,"prohibition, ban; injunction",0,1,0,0,0,0,0,0,0,0,0,0,0,1
plit,raft,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fartreter,representative; substitue; proxy,1,0,0,0,0,0,0,0,0,0,0,0,0,1
gram,rhyme,1,0,0,0,0,0,0,0,0,0,0,0,0,1
himl,"sky, heaven",0,0,0,0,0,0,0,0,0,1,0,0,0,1
shir,song,0,0,0,0,0,0,0,0,0,0,0,1,0,1
redner,"speaker, talker",1,0,0,0,0,0,0,0,0,0,0,0,0,1
vevrik,squirrel; urchin,0,0,0,0,0,0,0,0,0,0,0,1,0,1
shpits,"summit, top, peak",0,0,0,0,0,0,0,1,0,0,0,0,0,1
shtits,"support, grant",0,0,0,0,0,0,0,0,0,0,0,1,0,1
toter,Tatar,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ris,"tear, rip",0,0,0,0,0,0,0,0,0,0,0,1,0,1
tson,tooth,1,0,0,0,0,0,0,0,0,0,0,0,0,1
barir,touch; contact,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tsiter,"tremble, shiver",0,1,0,0,0,0,0,0,0,0,0,0,0,1
drayfus,tripod,0,0,0,0,0,0,0,0,0,0,0,1,0,1
oyfshtand,"uprise, uprising, revolt",1,0,0,0,0,0,0,0,0,0,0,0,0,1
gang,"walk, pace; method",0,0,0,0,0,0,0,0,0,0,0,1,0,1
